측정일시,권역코드,권역명,측정소코드,측정소명,미세먼지 1시간(㎍/㎥),미세먼지 24시간(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
202001020400,100,도심권,111121,중구,42,44,37,0.002,0.038,0.7,0.003
202001020400,101,서북권,111181,은평구,42,44,30,0.001,0.035,0.8,0.003
202001020400,101,서북권,111191,서대문구,42,45,19,0.004,0.034,0.7,0.003
202001020500,100,도심권,111123,종로구,43,44,33,0.002,0.041,0.8,0.004
202001020500,100,도심권,111131,용산구,39,39,34,0.002,0.033,0.7,0.003
202001020500,100,도심권,111121,중구,45,44,35,0.003,0.032,0.6,0.003
202001020500,101,서북권,111181,은평구,41,44,29,0,0.034,0.8,0.003
202001020500,101,서북권,111191,서대문구,42,45,23,0.003,0.035,0.8,0.004
202001020600,100,도심권,111123,종로구,44,44,33,0.002,0.04,0.8,0.003
202001020600,100,도심권,111131,용산구,38,39,33,0.002,0.032,0.6,0.003
202001020600,100,도심권,111121,중구,43,44,34,0.002,0.036,0.6,0.003
202001020600,101,서북권,111181,은평구,42,43,23,0.001,0.034,0.8,0.003
202001020600,101,서북권,111191,서대문구,41,44,23,0.003,0.037,0.9,0.005
202001020700,100,도심권,111123,종로구,46,45,33,0.002,0.043,0.8,0.004
202001020700,100,도심권,111131,용산구,41,40,35,0.001,0.034,0.7,0.003
202001020700,100,도심권,111121,중구,44,44,36,0.002,0.04,0.7,0.003
202001020700,101,서북권,111181,은평구,47,43,26,0.001,0.037,0.8,0.003
202001020700,101,서북권,111191,서대문구,41,44,22,0.002,0.04,0.9,0.003
202001020800,100,도심권,111123,종로구,46,45,35,0.002,0.044,0.9,0.004
202001020800,100,도심권,111131,용산구,43,40,35,0.002,0.034,0.7,0.003
202001020800,100,도심권,111121,중구,48,45,38,0.002,0.042,0.9,0.004
202001020800,101,서북권,111181,은평구,42,43,28,0.001,0.041,0.9,0.003
202001020800,101,서북권,111191,서대문구,46,44,25,0.002,0.042,0.9,0.003
202001020900,100,도심권,111123,종로구,50,46,35,0.002,0.049,1.1,0.004
202001020900,100,도심권,111131,용산구,43,41,37,0.002,0.035,0.7,0.003
202001020900,100,도심권,111121,중구,48,46,40,0.001,0.043,0.9,0.004
202001020900,101,서북권,111181,은평구,49,44,29,0.001,0.04,0.9,0.003
202001020900,101,서북권,111191,서대문구,50,45,27,0.002,0.042,1,0.004
202001021000,100,도심권,111123,종로구,55,48,40,0.002,0.048,1,0.004
202001021000,100,도심권,111131,용산구,47,42,38,0.002,0.038,0.8,0.003
202001021000,100,도심권,111121,중구,53,47,42,0.002,0.046,1.1,0.004
202001021000,101,서북권,111181,은평구,51,46,27,0.002,0.039,0.9,0.003
202001021000,101,서북권,111191,서대문구,63,48,27,0.003,0.042,1,0.004
202001021100,100,도심권,111123,종로구,58,50,51,0.003,0.051,1.1,0.005
202001021100,100,도심권,111131,용산구,52,44,41,0.003,0.04,0.8,0.004
202001021100,100,도심권,111121,중구,58,49,47,0.002,0.048,1.1,0.004
202001021100,101,서북권,111181,은평구,54,47,31,0.003,0.04,0.9,0.003
202001021100,101,서북권,111191,서대문구,63,52,30,0.004,0.044,1.1,0.004
202001021200,100,도심권,111123,종로구,65,53,0,0.003,0.054,1.1,0.005
202001021200,100,도심권,111131,용산구,57,47,45,0.003,0.041,0.8,0.004
202001021200,100,도심권,111121,중구,64,52,51,0.003,0.051,1.1,0.005
202001021200,101,서북권,111181,은평구,59,50,32,0.003,0.043,1,0.004
202001021200,101,서북권,111191,서대문구,68,55,32,0.004,0.043,1.1,0.004
202001021300,100,도심권,111123,종로구,69,55,51,0.003,0.051,1,0.005
202001021300,100,도심권,111131,용산구,63,50,50,0.004,0.041,0.9,0.004
202001021300,100,도심권,111121,중구,66,55,58,0.004,0.046,1,0.004
202001021300,101,서북권,111181,은평구,65,53,35,0.003,0.043,1,0.004
202001021300,101,서북권,111191,서대문구,72,57,35,0.004,0.045,1.1,0.004
202001021400,100,도심권,111123,종로구,72,56,49,0.004,0.046,0.9,0.004
202001021400,100,도심권,111131,용산구,67,54,52,0.003,0.041,0.8,0.004
202001021400,100,도심권,111121,중구,66,58,54,0.004,0.042,0.7,0.004
202001021400,101,서북권,111181,은평구,67,56,39,0.005,0.038,0.9,0.004
202001021400,101,서북권,111191,서대문구,71,57,33,0.006,0.039,0.9,0.003
202001021500,100,도심권,111123,종로구,66,58,47,0.006,0.039,0.7,0.004
202001021500,100,도심권,111131,용산구,66,56,49,0.005,0.036,0.7,0.004
202001021500,100,도심권,111121,중구,63,59,52,0.007,0.036,0.6,0.004
202001021500,101,서북권,111181,은평구,69,59,42,0.005,0.036,0.8,0.004
202001021500,101,서북권,111191,서대문구,71,56,32,0.006,0.039,0.8,0.003
202001021600,100,도심권,111123,종로구,67,60,46,0.005,0.041,0.7,0.004
202001021600,100,도심권,111131,용산구,64,58,50,0.004,0.039,0.7,0.004
202001021600,100,도심권,111121,중구,65,60,52,0.005,0.039,0.6,0.004
202001021600,101,서북권,111181,은평구,71,59,41,0.007,0.033,0.8,0.003
202001021600,101,서북권,111191,서대문구,76,57,36,0.007,0.036,0.8,0.003
202001021700,100,도심권,111123,종로구,78,60,55,0.003,0.043,0.7,0.004
202001021700,100,도심권,111131,용산구,71,58,52,0.004,0.039,0.7,0.004
202001021700,100,도심권,111121,중구,73,60,58,0.004,0.039,0.6,0.004
202001021700,101,서북권,111181,은평구,76,60,41,0.004,0.038,0.8,0.003
202001021700,101,서북권,111191,서대문구,75,58,37,0.005,0.04,0.8,0.003
202001021800,100,도심권,111123,종로구,76,62,53,0.003,0.043,0.8,0.004
202001021800,100,도심권,111131,용산구,66,59,51,0.002,0.039,0.7,0.004
202001021800,100,도심권,111121,중구,71,59,57,0.003,0.04,0.6,0.004
202001021800,101,서북권,111181,은평구,76,60,45,0.005,0.036,0.8,0.003
202001021800,101,서북권,111191,서대문구,74,60,36,0.004,0.04,0.8,0.003
202001021900,100,도심권,111123,종로구,75,62,55,0.006,0.039,0.9,0.004
202001021900,100,도심권,111131,용산구,64,60,48,0.01,0.028,0.6,0.003
202001021900,100,도심권,111121,중구,71,59,56,0.008,0.034,0.6,0.004
202001021900,101,서북권,111181,은평구,70,59,46,0.006,0.035,0.9,0.004
202001021900,101,서북권,111191,서대문구,73,61,36,0.009,0.037,0.8,0.003
202001022000,100,도심권,111123,종로구,73,62,54,0.007,0.037,0.8,0.004
202001022000,100,도심권,111131,용산구,60,60,48,0.008,0.031,0.6,0.003
202001022000,100,도심권,111121,중구,68,61,55,0.003,0.042,0.7,0.004
202001022000,101,서북권,111181,은평구,70,60,44,0.007,0.034,0.9,0.004
202001022000,101,서북권,111191,서대문구,73,62,41,0.006,0.037,1.1,0.005
202001022100,100,도심권,111123,종로구,76,63,56,0.008,0.035,0.8,0.004
202001022100,100,도심권,111131,용산구,63,62,51,0.003,0.036,0.7,0.003
202001022100,100,도심권,111121,중구,73,62,58,0.002,0.042,0.8,0.004
202001022100,101,서북권,111181,은평구,71,60,44,0.004,0.036,0.9,0.003
202001022100,101,서북권,111191,서대문구,74,63,45,0.005,0.038,1.5,0.008
202001022200,100,도심권,111123,종로구,73,63,52,0.004,0.04,0.8,0.004
202001022200,100,도심권,111131,용산구,62,63,50,0.002,0.036,0.7,0.003
202001022200,100,도심권,111121,중구,71,62,59,0.002,0.044,0.9,0.004
202001022200,101,서북권,111181,은평구,71,61,42,0.001,0.035,0.9,0.003
202001022200,101,서북권,111191,서대문구,78,64,44,0.002,0.043,1.7,0.007
202001022300,100,도심권,111123,종로구,74,64,55,0.002,0.046,0.9,0.004
202001022300,100,도심권,111131,용산구,69,64,55,0.002,0.038,0.8,0.003
202001022300,100,도심권,111121,중구,74,63,61,0.001,0.046,0.9,0.003
202001022300,101,서북권,111181,은평구,61,62,38,0.001,0.033,0.9,0.003
202001022300,101,서북권,111191,서대문구,77,65,43,0.002,0.045,1.7,0.006
202001030000,100,도심권,111123,종로구,73,64,54,0.002,0.045,1,0.004
202001030000,100,도심권,111131,용산구,65,65,53,0.002,0.039,0.9,0.003
202001030000,100,도심권,111121,중구,75,62,61,0.002,0.046,0.8,0.004
202001030000,101,서북권,111181,은평구,64,64,41,0.001,0.037,1,0.003
202001030000,101,서북권,111191,서대문구,75,66,41,0.002,0.048,1.5,0.005
202001030100,100,도심권,111123,종로구,77,65,57,0.003,0.04,0.9,0.004
202001030100,100,도심권,111131,용산구,69,66,55,0.005,0.033,0.8,0.003
202001030100,100,도심권,111121,중구,74,63,62,0.002,0.039,0.7,0.004
202001030100,101,서북권,111181,은평구,61,64,40,0.001,0.039,1,0.003
202001030100,101,서북권,111191,서대문구,80,66,47,0.002,0.044,2,0.007
202001030200,100,도심권,111123,종로구,76,65,56,0.002,0.041,0.9,0.004
202001030200,100,도심권,111131,용산구,69,67,54,0.005,0.031,0.8,0.003
202001030200,100,도심권,111121,중구,75,63,63,0.002,0.038,0.8,0.004
202001030200,101,서북권,111181,은평구,71,65,40,0.002,0.034,0.9,0.003
202001030200,101,서북권,111191,서대문구,76,66,38,0.002,0.039,1.1,0.004
202001030300,100,도심권,111123,종로구,79,66,59,0.006,0.031,0.8,0.003
202001030300,100,도심권,111131,용산구,70,65,56,0.002,0.032,0.8,0.003
202001030300,100,도심권,111121,중구,74,64,63,0.002,0.035,0.8,0.003
202001030300,101,서북권,111181,은평구,76,64,46,0.004,0.027,1,0.003
202001030300,101,서북권,111191,서대문구,77,67,40,0.006,0.029,1.1,0.004
202001030400,100,도심권,111123,종로구,72,66,54,0.009,0.029,0.8,0.004
202001030400,100,도심권,111131,용산구,67,65,53,0.003,0.03,0.8,0.003
202001030400,100,도심권,111121,중구,72,64,61,0.006,0.03,0.8,0.003
202001030400,101,서북권,111181,은평구,75,64,50,0.002,0.028,1,0.003
202001030400,101,서북권,111191,서대문구,78,67,48,0.005,0.031,1.5,0.006
202001030500,100,도심권,111123,종로구,75,66,58,0.004,0.033,0.9,0.003
202001030500,100,도심권,111131,용산구,68,65,53,0.003,0.03,0.8,0.003
202001030500,100,도심권,111121,중구,77,64,65,0.003,0.032,0.8,0.003
202001030500,101,서북권,111181,은평구,78,63,50,0.002,0.025,1,0.003
202001030500,101,서북권,111191,서대문구,77,67,44,0.003,0.033,1.6,0.007
202001030600,100,도심권,111123,종로구,74,66,57,0.004,0.034,0.9,0.003
202001030600,100,도심권,111131,용산구,65,65,53,0.005,0.026,0.8,0.002
202001030600,100,도심권,111121,중구,75,65,63,0.002,0.034,0.9,0.003
202001030600,101,서북권,111181,은평구,72,63,46,0.003,0.027,1,0.003
202001030600,101,서북권,111191,서대문구,73,67,45,0.003,0.03,1.5,0.007
202001030700,100,도심권,111123,종로구,78,66,61,0.003,0.033,0.9,0.004
202001030700,100,도심권,111131,용산구,65,66,52,0.003,0.028,0.9,0.003
202001030700,100,도심권,111121,중구,76,65,64,0.002,0.033,0.9,0.003
202001030700,101,서북권,111181,은평구,71,63,45,0.002,0.026,1,0.003
202001030700,101,서북권,111191,서대문구,76,67,45,0.003,0.032,1.4,0.006
202001030800,100,도심권,111123,종로구,75,66,56,0.003,0.035,0.9,0.004
202001030800,100,도심권,111131,용산구,64,66,49,0.002,0.029,0.9,0.003
202001030800,100,도심권,111121,중구,75,66,62,0.002,0.035,0.9,0.003
202001030800,101,서북권,111181,은평구,69,64,44,0.001,0.032,1,0.003
202001030800,101,서북권,111191,서대문구,76,67,42,0.002,0.035,1.5,0.006
202001030900,100,도심권,111123,종로구,80,67,58,0.003,0.046,1.3,0.004
202001030900,100,도심권,111131,용산구,66,66,51,0.003,0.035,1,0.003
202001030900,100,도심권,111121,중구,75,65,62,0.003,0.038,1,0.003
202001030900,101,서북권,111181,은평구,71,64,41,0.002,0.033,1.1,0.003
202001030900,101,서북권,111191,서대문구,83,67,43,0.003,0.035,1.6,0.007
202001031000,100,도심권,111123,종로구,79,67,55,0.008,0.038,1.1,0.004
202001031000,100,도심권,111131,용산구,68,66,51,0.007,0.034,0.9,0.004
202001031000,100,도심권,111121,중구,74,65,58,0.008,0.033,0.9,0.004
202001031000,101,서북권,111181,은평구,65,65,39,0.011,0.024,1,0.004
202001031000,101,서북권,111191,서대문구,78,68,38,0.009,0.031,1.3,0.008
202001031100,100,도심권,111123,종로구,70,66,48,0.018,0.026,0.8,0.005
202001031100,100,도심권,111131,용산구,77,66,56,0.009,0.033,0.9,0.005
202001031100,100,도심권,111121,중구,74,65,56,0.018,0.023,0.8,0.005
202001031100,101,서북권,111181,은평구,68,67,40,0.023,0.014,0.9,0.005
202001031100,101,서북권,111191,서대문구,83,69,35,0.02,0.022,1,0.007
202001031200,100,도심권,111123,종로구,64,67,42,0.02,0.026,0.8,0.006
202001031200,100,도심권,111131,용산구,71,65,49,0.016,0.028,0.8,0.006
202001031200,100,도심권,111121,중구,65,66,49,0.022,0.022,0.7,0.005
202001031200,101,서북권,111181,은평구,0,66,0,0,0,0,0
202001031200,101,서북권,111191,서대문구,76,69,32,0.019,0.026,0.9,0.006
202001031300,100,도심권,111123,종로구,68,68,46,0.017,0.033,0.8,0.005
202001031300,100,도심권,111131,용산구,68,65,49,0.013,0.033,0.8,0.005
202001031300,100,도심권,111121,중구,67,67,52,0.011,0.037,0.8,0.005
202001031300,101,서북권,111181,은평구,0,69,0,0,0,0,0
202001031300,101,서북권,111191,서대문구,0,68,0,0.017,0.031,0.9,0.005
202001031400,100,도심권,111123,종로구,65,68,45,0.018,0.033,0.7,0.006
202001031400,100,도심권,111131,용산구,64,64,46,0.019,0.03,0.7,0.004
202001031400,100,도심권,111121,중구,71,67,57,0.019,0.031,0.7,0.005
202001031400,101,서북권,111181,은평구,69,70,0,0.018,0.024,0.8,0.005
202001031400,101,서북권,111191,서대문구,68,70,31,0,0,0,0
202001031500,100,도심권,111123,종로구,59,68,44,0.022,0.03,0.7,0.005
202001031500,100,도심권,111131,용산구,50,62,38,0.022,0.028,0.6,0.004
202001031500,100,도심권,111121,중구,53,65,42,0.029,0.022,0.6,0.004
202001031500,101,서북권,111181,은평구,71,66,40,0.028,0.016,0.6,0.004
202001031500,101,서북권,111191,서대문구,48,66,25,0.028,0.024,0.6,0.004
202001031600,100,도심권,111123,종로구,49,65,36,0.025,0.028,0.6,0.004
202001031600,100,도심권,111131,용산구,50,61,36,0.024,0.029,0.6,0.004
202001031600,100,도심권,111121,중구,47,62,37,0.032,0.022,0.5,0.004
202001031600,101,서북권,111181,은평구,47,62,21,0.031,0.017,0.6,0.004
202001031600,101,서북권,111191,서대문구,48,63,19,0.032,0.023,0.5,0.004
202001031700,100,도심권,111123,종로구,50,62,37,0.024,0.029,0.6,0.004
202001031700,100,도심권,111131,용산구,52,59,37,0.02,0.033,0.6,0.004
202001031700,100,도심권,111121,중구,48,58,39,0.031,0.023,0.5,0.004
202001031700,101,서북권,111181,은평구,49,60,24,0.03,0.019,0.6,0.004
202001031700,101,서북권,111191,서대문구,54,62,24,0.025,0.03,0.6,0.004
202001031800,100,도심권,111123,종로구,56,60,40,0.016,0.039,0.7,0.004
202001031800,100,도심권,111131,용산구,55,57,39,0.006,0.047,0.7,0.004
202001031800,100,도심권,111121,중구,52,57,42,0.022,0.031,0.6,0.004
202001031800,101,서북권,111181,은평구,51,57,27,0.016,0.034,0.7,0.004
202001031800,101,서북권,111191,서대문구,56,60,25,0.013,0.043,0.8,0.006
202001031900,100,도심권,111123,종로구,48,57,35,0.008,0.047,0.8,0.004
202001031900,100,도심권,111131,용산구,58,58,42,0.007,0.045,0.7,0.004
